CountyID,perc_college,LifeExp
1,27.1976217672389,60.4416889191501
2,28.8491125525836,64.9411200361517
3,37.7935415707456,65.1486486014896
4,30.3525419571229,55.3351452034396
5,30.6464386758047,71.4175599416267
6,38.5753249344164,70.7035520533997
7,32.304581029946,67.2863106073631
8,23.6746938269673,62.5022579990826
9,26.5657357405324,62.9868953226135
10,27.7716901495002,64.3284564444886
11,36.1204089871973,63.0718173280823
12,31.7990691352868,68.6926552123414
13,32.0038572529703,57.2995934598119
14,30.5534135797256,66.2649485185723
15,27.2207943262296,70.0520134206627
16,38.9345656840154,65.3722529558308
17,32.4892523911462,55.4106075394036
18,20.1669142168518,55.096702613883
19,33.5067795078184,58.3533573282757
20,27.6360429613603,64.7030378136894
21,24.6608814700658,59.8717701174883
22,28.9101254267085,71.5444549434218
23,24.8699777584638,59.6170331598964
24,26.3555438535443,64.0506646290168
25,26.8748036607537,61.2523586163934
26,21.5665334462879,63.210262837292
27,34.1889352224726,64.1252432994414
28,30.7668655891826,66.8092787654783
29,24.3093153149403,60.1587529485697
30,36.2690746053496,90.4934749628903
31,32.1323211073841,69.4330290476398
32,28.5246425850387,72.4762959240067
33,34.4756283052251,56.5258827165171
34,34.3906674376652,69.7820007686878
35,34.1079054081874,59.9661106167217
36,33.4432012705005,69.5095588907117
37,32.7695882676879,71.3033497911664
38,29.6904414471164,62.9287935913448
39,28.4701866813004,53.7150854995412
40,28.0976449949381,62.9106626733002
41,26.5264651053974,60.8418496046835
42,28.960413609902,75.0500835524082
43,23.6730182421587,60.5906507072973
44,40.8447798266926,80.2454818717554
45,36.039809991525,52.2272545385995
46,24.3844570839833,73.8310068985866
47,27.9855758235046,55.4206904855834
48,27.6667232318839,55.5617049451725
49,33.8998255916816,79.9306023842524
50,29.5831546676409,64.0468626424529
51,31.2665925699738,57.117183176243
52,29.8572662232565,79.0256232522448
53,29.7856477135434,60.2587985793781
54,36.8430114200723,45.4565061310839
55,28.8711450717037,71.9972418198314
56,37.5823530221477,71.7080165053728
57,22.2562359788489,58.1145238144762
58,32.9230687481804,58.2455575586634
